ID: 51, Timestamp: 18:20:22, GSR_filtrado: 70, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 52, Timestamp: 18:20:22, GSR_filtrado: 60, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 53, Timestamp: 18:20:22, GSR_filtrado: 63, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 54, Timestamp: 18:20:22, GSR_filtrado: 64, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 55, Timestamp: 18:20:22, GSR_filtrado: 64, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 56, Timestamp: 18:20:22, GSR_filtrado: 62, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 57, Timestamp: 18:20:22, GSR_filtrado: 63, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 58, Timestamp: 18:20:22, GSR_filtrado: 65, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 59, Timestamp: 18:20:22, GSR_filtrado: 64, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 60, Timestamp: 18:20:22, GSR_filtrado: 68, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 61, Timestamp: 18:20:22, GSR_filtrado: 66, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 62, Timestamp: 18:20:23, GSR_filtrado: 60, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 63, Timestamp: 18:20:23, GSR_filtrado: 59, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 64, Timestamp: 18:20:23, GSR_filtrado: 62, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 65, Timestamp: 18:20:23, GSR_filtrado: 63, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 66, Timestamp: 18:20:23, GSR_filtrado: 63, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 67, Timestamp: 18:20:23, GSR_filtrado: 64, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 68, Timestamp: 18:20:23, GSR_filtrado: 64, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 69, Timestamp: 18:20:23, GSR_filtrado: 64, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 70, Timestamp: 18:20:23, GSR_filtrado: 76, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 71, Timestamp: 18:20:23, GSR_filtrado: 72, Valor1: 1.0, Valor2: 0.0, ECG_filtrado: 0
ID: 72, Timestamp: 18:20:23, GSR_filtrado: 54, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 73, Timestamp: 18:20:23, GSR_filtrado: 63, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 74, Timestamp: 18:20:23, GSR_filtrado: 65, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 75, Timestamp: 18:20:23, GSR_filtrado: 64, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 76, Timestamp: 18:20:23, GSR_filtrado: 64, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 77, Timestamp: 18:20:23, GSR_filtrado: 65, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 78, Timestamp: 18:20:24, GSR_filtrado: 66, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 79, Timestamp: 18:20:24, GSR_filtrado: 65, Valor1: 1.0, Valor2: 0.0, ECG_filtrado: 0
ID: 80, Timestamp: 18:20:24, GSR_filtrado: 67, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 81, Timestamp: 18:20:24, GSR_filtrado: 68, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 82, Timestamp: 18:20:24, GSR_filtrado: 66, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 83, Timestamp: 18:20:24, GSR_filtrado: 78, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 84, Timestamp: 18:20:24, GSR_filtrado: 71, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 85, Timestamp: 18:20:24, GSR_filtrado: 60, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 86, Timestamp: 18:20:24, GSR_filtrado: 66, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 87, Timestamp: 18:20:24, GSR_filtrado: 68, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 88, Timestamp: 18:20:24, GSR_filtrado: 68, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 89, Timestamp: 18:20:24, GSR_filtrado: 68, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 90, Timestamp: 18:20:24, GSR_filtrado: 81, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 91, Timestamp: 18:20:24, GSR_filtrado: 46, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 92, Timestamp: 18:20:24, GSR_filtrado: 67, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 93, Timestamp: 18:20:24, GSR_filtrado: 79, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 94, Timestamp: 18:20:24, GSR_filtrado: 75, Valor1: 1.0, Valor2: 0.0, ECG_filtrado: 0
ID: 95, Timestamp: 18:20:25, GSR_filtrado: 55, Valor1: 1.0, Valor2: 0.0, ECG_filtrado: 0
ID: 96, Timestamp: 18:20:25, GSR_filtrado: 68, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 97, Timestamp: 18:20:25, GSR_filtrado: 73, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 98, Timestamp: 18:20:25, GSR_filtrado: 62, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 99, Timestamp: 18:20:25, GSR_filtrado: 68, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 100, Timestamp: 18:20:25, GSR_filtrado: 70, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 101, Timestamp: 18:20:25, GSR_filtrado: 70, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 102, Timestamp: 18:20:25, GSR_filtrado: 69, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 103, Timestamp: 18:20:25, GSR_filtrado: 69, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 104, Timestamp: 18:20:25, GSR_filtrado: 69, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 105, Timestamp: 18:20:25, GSR_filtrado: 67, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 106, Timestamp: 18:20:25, GSR_filtrado: 79, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 107, Timestamp: 18:20:25, GSR_filtrado: 73, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 108, Timestamp: 18:20:25, GSR_filtrado: 57, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 109, Timestamp: 18:20:25, GSR_filtrado: 64, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 110, Timestamp: 18:20:25, GSR_filtrado: 66, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 111, Timestamp: 18:20:26, GSR_filtrado: 62, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 112, Timestamp: 18:20:26, GSR_filtrado: 63, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 113, Timestamp: 18:20:26, GSR_filtrado: 66, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 114, Timestamp: 18:20:26, GSR_filtrado: 67, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 115, Timestamp: 18:20:26, GSR_filtrado: 65, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 116, Timestamp: 18:20:26, GSR_filtrado: 77, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 117, Timestamp: 18:20:26, GSR_filtrado: 80, Valor1: 1.0, Valor2: 0.0, ECG_filtrado: 0
ID: 118, Timestamp: 18:20:26, GSR_filtrado: 80, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 119, Timestamp: 18:20:26, GSR_filtrado: 82, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 120, Timestamp: 18:20:26, GSR_filtrado: 81, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 121, Timestamp: 18:20:26, GSR_filtrado: 36, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 122, Timestamp: 18:20:26, GSR_filtrado: 66, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 123, Timestamp: 18:20:26, GSR_filtrado: 68, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 124, Timestamp: 18:20:26, GSR_filtrado: 68, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 125, Timestamp: 18:20:26, GSR_filtrado: 67, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 126, Timestamp: 18:20:26, GSR_filtrado: 68, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 127, Timestamp: 18:20:27, GSR_filtrado: 68, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 128, Timestamp: 18:20:27, GSR_filtrado: 65, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 129, Timestamp: 18:20:27, GSR_filtrado: 78, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 130, Timestamp: 18:20:27, GSR_filtrado: 73, Valor1: 1.0, Valor2: 0.0, ECG_filtrado: 0
ID: 131, Timestamp: 18:20:27, GSR_filtrado: 53, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
