ID: 56, Chegada dos dados: 14:13:38, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 57, Chegada dos dados: 14:13:38, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 58, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 59, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 60, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 61, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 62, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 63, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 64, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 65, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 66, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 67, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 68, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 69, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 70, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 71, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 72, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 73, Chegada dos dados: 14:13:39, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 74, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 75, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 76, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 77, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 78, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 79, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 80, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 81, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 82, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 83, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 84, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 85, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 86, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 87, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 88, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 89, Chegada dos dados: 14:13:40, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 90, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 91, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 92, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 93, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 94, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 95, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 96, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 97, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 98, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 99, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 100, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 101, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 102, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 103, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 104, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 105, Chegada dos dados: 14:13:41, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 106, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 107, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 108, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 109, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 110, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 111, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 112, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
